deviceSerialNumber,MODELID,Bus,PLACEID,LOCATIONNAME,SUBLOCATION,INSTALLDATE,DEINSTALLDATE,DEVICE_ID_HEX
6498138,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001,4/25/2014 20:13,10/10/2014 6:51,63275A    
6498153,DC CID1A  ,4100,SOL4100,SOL,NSL-SOL-TDS-001,2/4/2021 0:00,9/1/2023 0:00,632769
6498189,DC CID1A,5059,SOL5059,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,63278D    
6498234,DC CID1A,4412,SOL4412,SOL,NSL-SOL-TDS-001,5/14/2014 17:59,10/23/2014 1:44,6327BA    
6498303,DC CID1A,3912,SOL3912,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:04,9/1/2023 0:00,6327FF    
6498358,DC CID1A,5102,SOL5102,SOL,NSL-SOL-TDS-001,2/10/2017 19:38,10/1/2018 8:00,632836
6498360,DC CID1A,5019,SOL5019,SOL,NSL-SOL-TDS-001,9/18/2014 2:13,1/16/2018 16:28,632838
6498360,DC CID1A,5108,SOL5108,SOL,NSL-SOL-TDS-001,1/16/2018 16:28,9/1/2023 0:00,632838
6498366,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:21,6/26/2015 8:00,63283E    
6498384,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001,8/12/2015 0:00,10/7/2019 8:00,632850
6498394,DC CID1A,5018,SOL5018,SOL,NSL-SOL-TDS-001,5/14/2014 18:31,10/22/2014 5:13,63285A    
6498421,DC CID1A,5016,SOL5016,SOL,NSL-SOL-TDS-001,5/2/2014 21:33,10/5/2014 1:16,632875
6498457,DC CID1A,5025,SOL5025,SOL,NSL-SOL-TDS-001,4/10/2014 21:14,10/17/2014 7:36,632899
6498458,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:45,6/15/2015 8:00,63289A    
6498559,DC CID1A,5019,SOL5019,SOL,NSL-SOL-TDS-001,5/14/2014 18:10,10/8/2014 2:17,6328FF    
6498570,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:53,6/5/2015 8:00,63290A    
6498573,DC CID1A,4411,SOL4411,SOL,NSL-SOL-TDS-001,5/14/2014 17:56,10/8/2014 2:27,63290D    
6498575,DC CID1A,4412,SOL4412,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:57,3/14/2018 0:00,63290F    
6498579,DC CID1A  ,3920,SOL3920,SOL,NSL-SOL-TDS-001,6/24/2020 0:00,9/1/2023 0:00,632913
6498580,DC CID1A,3921,SOL3921,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:18,9/1/2023 0:00,632914
6498587,DC CID1A,5058,SOL5058,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,63291B    
6498591,DC CID1A,5013,SOL5013,SOL,NSL-SOL-TDS-001,5/2/2014 21:24,10/10/2014 7:03,63291F    
6498592,DC CID1A,5034,SOL5034,SOL,NSL-SOL-TDS-001,5/2/2014 21:58,12/22/2016 8:00,632920
6498593,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001,5/2/2014 21:21,10/3/2014 3:21,632921
6498594,DC CID1A,5012,SOL5012,SOL,NSL-SOL-TDS-001,8/28/2014 22:40,11/4/2014 4:44,632922
6498595,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001,5/2/2014 21:29,10/21/2014 5:10,632923
6498596,DC CID1A,5011,SOL5011,SOL,NSL-SOL-TDS-001,5/14/2014 18:29,11/7/2014 21:26,632924
6498597,DC CID1A,5007,SOL5007,SOL,NSL-SOL-TDS-001,5/2/2014 21:56,11/26/2014 21:13,632925
6498612,DC CID1A,5035,SOL5035,SOL,NSL-SOL-TDS-001,5/14/2014 18:02,4/17/2015 8:00,6327BD    
6498612,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001 ,9/8/2015 22:15,2/25/2017 8:00,632934
6498612,DC CID1A,5116,SOL5116,SOL,NSL-SOL-TDS-001,1/29/2019 20:43,6/12/2019 8:00,632934
6498627,DC CID1A,4417,SOL4417,SOL,NSL-SOL-TDS-001 ,2/1/2016 4:50,6/7/2016 8:00,?632943   
6498627,DC CID1A,5101,SOL5101,SOL,NSL-SOL-TDS-001,2/10/2017 19:57,1/6/2018 8:00,632943
6498659,DC CID1A,5020,SOL5020,SOL,NSL-SOL-TDS-001,5/2/2014 22:04,11/25/2014 6:43,632963
6498680,DC CID1A,3904,SOL3904,SOL,NSL-SOL-TDS-001,4/3/2014 22:48,10/10/2014 6:52,632978
6498697,DC CID1A,5010,SOL5010,SOL,NSL-SOL-TDS-001 ,12/4/2014 15:34,7/1/2019 8:00,632989
6498701,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001,6/15/2015 8:00,9/12/2015 8:00,63298D    
6498711,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001,5/5/2015 0:00,11/16/2016 8:00,632997
6498722,DC CID1A,3901,SOL3901,SOL,NSL-SOL-TDS-001 ,9/17/2014 22:14,4/7/2020 0:00,6329A2    
6498732,DC CID1A,4411,SOL4411,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:01,1/4/2018 18:17,6329AC    
6498732,DC CID1A,5101,SOL5101,SOL,NSL-SOL-TDS-001,1/4/2018 18:17,10/15/2019 8:00,6329AC    
6498732,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001,10/15/2019 0:00,11/1/2019 8:00,6329AC    
6498732,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001,11/1/2019 8:00,9/1/2023 0:00,6329AC    
6498749,DC CID1A  ,3910,SOL3910,SOL,NSL-SOL-TDS-001,1/27/2021 0:00,9/1/2023 0:00,6329BD    
6498775,DC CID1A,3917,SOL3917,SOL,NSL-SOL-TDS-001,4/18/2014 18:35,10/21/2014 5:36,6329D7    
6498798,DC CID1A,3906,SOL3906,SOL,NSL-SOL-TDS-001,4/18/2014 18:37,10/17/2014 7:39,6329EE    
