"dt_pacific","hour_pacific","Max","Average"
2024-06-13,11:30:40,318647,7706.27228525121
2024-06-13,11:31:00,318667,7549.94944707741
2024-06-13,11:31:20,318687,7761.04545454545
2024-06-13,11:31:40,318707,8256.36269430052
2024-06-13,11:32:00,318727,7534.04912836768
2024-06-13,11:32:20,318747,7686.6494345719
2024-06-13,11:32:40,318767,8313.96678321678
2024-06-13,11:33:00,318787,8021.95784148398
2024-06-13,11:33:20,318807,7955.08557046979
2024-06-13,11:33:40,318827,7470.23464566929
2024-06-13,11:34:00,318847,8330.72791519435
2024-06-13,11:34:20,318867,8052.69453924915
2024-06-13,11:34:40,318887,7551.6384
2024-06-13,11:35:00,318907,7868.9767827529
2024-06-13,11:35:20,318927,8475.84107142857
2024-06-13,11:35:40,318947,8242.66493055556
2024-06-13,11:36:00,318967,7385.76562500001
2024-06-13,11:36:20,318987,6883.5211062591
2024-06-13,11:36:40,319007,7660.88654781199
2024-06-13,11:37:00,319027,8170.87716262976
2024-06-13,11:37:20,319047,8310.53521126761
2024-06-13,11:37:40,319067,7798.49256198347
2024-06-13,11:38:00,319087,8730.72710622711
2024-06-13,11:38:20,319107,7874.06765676568
2024-06-13,11:38:40,319127,7669.02250803859
2024-06-13,11:39:00,319147,7699.31006493506
2024-06-13,11:39:20,319167,7484.75867507887
2024-06-13,11:39:40,319187,7453.22605965463
2024-06-13,11:40:00,319207,7729.7996742671
2024-06-13,11:40:20,319227,7598.04006410256
2024-06-13,11:40:40,319247,7167.17496229261
2024-06-13,11:41:00,319267,7950.91289782245
2024-06-13,11:41:20,319287,7661.13064516129
2024-06-13,11:41:40,319307,8036.30118443316
2024-06-13,11:42:00,319327,7890.73057851239
2024-06-13,11:42:20,319347,7909.82781456954
2024-06-13,11:42:40,319367,8456.6134751773
2024-06-13,11:43:00,319387,9235.03307392996
2024-06-13,11:43:20,319407,7581.30462519936
2024-06-13,11:43:40,319427,8039.12690355329
2024-06-13,11:44:00,319447,9030.19885277246
2024-06-13,11:44:20,319467,7492.10776545165
2024-06-13,11:44:40,319487,7565.048
2024-06-13,11:45:00,319507,8364.19190140846
2024-06-13,11:45:20,319527,7570.97611464968
2024-06-13,11:45:40,319547,8322.10332749562
2024-06-13,11:46:00,319567,8250.74305555556
2024-06-13,11:46:20,319587,7585.74003189793
2024-06-13,11:46:40,319607,8392.49293286218
2024-06-13,11:47:00,319627,7837.13432835821
2024-06-13,11:47:20,319647,8109.06861063465
2024-06-13,11:47:40,319667,8201.38715277778
2024-06-13,11:48:00,319687,8927.86578449906
2024-06-13,11:48:20,319707,8319.63028169016
2024-06-13,11:48:40,319727,7751.15737704917
2024-06-13,11:49:00,319747,8727.18416206261
2024-06-13,11:49:20,319767,7630.16774193548
2024-06-13,11:49:40,319787,7560.22416534181
2024-06-13,11:50:00,319807,8413.26902654868
2024-06-13,11:50:20,319827,7672.55161290323
2024-06-13,11:50:40,319847,7720.17857142858
2024-06-13,11:51:00,319867,7980.53020134228
2024-06-13,11:51:20,319887,7379.37519379845
2024-06-13,11:51:40,319907,7508.49842271294
2024-06-13,11:52:00,319927,8052.00510204082
2024-06-13,11:52:20,319947,8023.78474576271
2024-06-13,11:52:40,319967,8785.5817843866
2024-06-13,11:53:00,319987,8194.04475043029
2024-06-13,11:53:20,320007,8717.65750915751
2024-06-13,11:53:40,320027,8029.90556492411
2024-06-13,11:54:00,320047,8262.64048865621
2024-06-13,11:54:20,320067,8756.0573012939
2024-06-13,11:54:40,320087,8562.75045207956
2024-06-13,11:55:00,320107,8136.77951388889
2024-06-13,11:55:20,320127,7757.72968490879
2024-06-13,11:55:40,320147,7597.89123376624
2024-06-13,11:56:00,320167,8110.14655172415
2024-06-13,11:56:20,320187,7641.91720779221
2024-06-13,11:56:40,320207,8183.90608695652
2024-06-13,11:57:00,320227,9032.94787644787
2024-06-13,11:57:20,320247,8129.21006944445
2024-06-13,11:57:40,320267,7555.05483870967
2024-06-13,11:58:00,320287,7970.13197969543
2024-06-13,11:58:20,320307,7112.81146304676
2024-06-13,11:58:40,320327,7789.19834710745
2024-06-13,11:59:00,320347,8026.43100511074
2024-06-13,11:59:20,320367,7510.37420382166
2024-06-13,11:59:40,320387,7272.50156739812
2024-06-13,12:00:00,320407,7668.2406504065
2024-06-13,12:00:20,320427,7285.35339506174
2024-06-13,12:00:40,320447,7537.89137380191
2024-06-13,12:01:00,320467,7966.64983164983
2024-06-13,12:01:20,320487,7423.77586206897
2024-06-13,12:01:40,320507,7493.20094936709
2024-06-13,12:02:00,320527,7916.64381270903
2024-06-13,12:02:20,320547,8502.76481149013
2024-06-13,12:02:40,320567,7312.23765432099
2024-06-13,12:03:00,320587,8082.52218430035
2024-06-13,12:03:20,320607,8283.19055944056
2024-06-13,12:03:40,320627,7991.91231028668
2024-06-13,12:04:00,320647,8212.71701388888
2024-06-13,12:04:20,320667,7481.50946372239
2024-06-13,12:04:40,320687,7082.32985074627
2024-06-13,12:05:00,320707,7287.96927803379
2024-06-13,12:05:20,320727,7251.34198473282
2024-06-13,12:05:40,320747,8347.77112676057
2024-06-13,12:06:00,320767,7703.66071428572
2024-06-13,12:06:20,320787,7679.79449838187
2024-06-13,12:06:40,320807,7461.69968553459
2024-06-13,12:07:00,320827,8531.06834532375
2024-06-13,12:07:20,320847,7327.79938271605
2024-06-13,12:07:40,320867,7974.06722689076
2024-06-13,12:08:00,320887,7742.82189542485
2024-06-13,12:08:20,320907,7916.58263772955
2024-06-13,12:08:40,320927,8773.54629629629
2024-06-13,12:09:00,320947,7983.06565656566
2024-06-13,12:09:20,320967,7537.28389154704
2024-06-13,12:09:40,320987,8132.461406518
2024-06-13,12:10:00,321007,7284.93855606759
2024-06-13,12:10:20,321027,7534.10793650793
2024-06-13,12:10:40,321047,8055.10186757215
2024-06-13,12:11:00,321067,8424.60456942003
2024-06-13,12:11:20,321087,7357.5245398773
2024-06-13,12:11:40,321107,8554.43291592129
2024-06-13,12:12:00,321127,8414.25352112676
2024-06-13,12:12:20,321147,7946.64119601329
2024-06-13,12:12:40,321167,7763.87662337662
2024-06-13,12:13:00,321187,7933.8498349835
2024-06-13,12:13:20,321207,8028.50751252087
2024-06-13,12:13:40,321227,8753.14207650273
2024-06-13,12:14:00,321247,8479.35626102293
2024-06-13,12:14:20,321267,7532.25508607199
2024-06-13,12:14:40,321287,7483.11508553655
2024-06-13,12:15:00,321307,8155.02372881355
2024-06-13,12:15:20,321327,8372.97043478261
2024-06-13,12:15:40,321347,8322.87716262976
2024-06-13,12:16:00,321367,8501.21378091873
2024-06-13,12:16:20,321387,7906.61101836394
2024-06-13,12:16:40,321407,8808.7326007326
2024-06-13,12:17:00,321427,7777.63812600969
2024-06-13,12:17:20,321447,8371.40347826087
2024-06-13,12:17:40,321467,8656.25359712231
2024-06-13,12:18:00,321487,7766.46677471637
2024-06-13,12:18:20,321507,7719.65056360709
2024-06-13,12:18:40,321527,8042.79180887372
2024-06-13,12:19:00,321547,8288.70934256055
2024-06-13,12:19:20,321567,7465.16822429907
2024-06-13,12:19:40,321587,8275.70466321243
2024-06-13,12:20:00,321607,8390.0243902439
2024-06-13,12:20:20,321627,7784.93699515347
2024-06-13,12:20:40,321647,8083.77684563758
2024-06-13,12:21:00,321667,8164.37819420783
2024-06-13,12:21:20,321687,8761.41941391942
2024-06-13,12:21:40,321707,8391.40630472855
2024-06-13,12:22:00,321727,7783.58766233766
2024-06-13,12:22:20,321747,7671.94080000001
2024-06-13,12:22:40,321767,7531.3328100471
2024-06-13,12:23:00,321787,8557.80357142858
2024-06-13,12:23:20,321807,7545.27672955974
2024-06-13,12:23:40,321827,7630.46899841017
2024-06-13,12:24:00,321847,7932.98016528925
2024-06-13,12:24:20,321867,7322.33435114504
2024-06-13,12:24:40,321887,7710.83279742766
2024-06-13,12:25:00,321907,8222.69982847341
2024-06-13,12:25:20,321927,8441.45070422536
2024-06-13,12:25:40,321947,7510.08607198748
2024-06-13,12:26:00,321967,7356.01067073171
2024-06-13,12:26:20,321987,7292.49395770392
2024-06-13,12:26:40,322007,8658.06283662476
2024-06-13,12:27:00,322027,7718.96302250804
2024-06-13,12:27:20,322047,7587.04265402844
2024-06-13,12:27:40,322067,7572.15299684543
2024-06-13,12:28:00,322087,8405.83187390542
2024-06-13,12:28:20,322107,7305.01367781155
2024-06-13,12:28:40,322127,7462.11335403727
2024-06-13,12:29:00,322147,8023
2024-06-13,12:29:20,322167,7680.13535031848
2024-06-13,12:29:40,322187,7655.23296354992
2024-06-13,12:30:00,322207,7793.96129032258
2024-06-13,12:30:20,322227,7041.58369723435
