"hour_pacific","Max","Average"
03:01:00,666940,53214.8
03:01:20,666960,80890.0576923077
03:01:40,666980,80896.9230769231
03:02:00,667000,82495.2156862745
03:02:20,667020,77923.3888888889
03:02:40,667040,82500.294117647
03:03:00,667060,85876.8367346939
03:03:20,667080,82519.9215686274
03:03:40,667100,82534
03:04:00,667120,76541.9272727272
03:04:20,667140,80959.3269230769
03:04:40,667160,80967.75
03:05:00,667180,82564.7450980392
03:05:20,667200,82576.9803921569
03:05:40,667220,84239.08
03:06:00,667240,78470.7592592593
03:06:20,667260,78482.8333333333
03:06:40,667280,81515.8846153846
03:07:00,667300,81035.3653846154
03:07:20,667320,86009.4489795918
03:07:40,667340,76635.8181818182
03:08:00,667360,75722.5357142857
03:08:20,667380,78539.9074074074
03:08:40,667400,78545.0555555556
03:09:00,667420,86049.8367346939
03:09:20,667440,82687.7450980392
03:09:40,667460,78107.8148148148
03:10:00,667480,83213.7450980392
03:10:20,667500,80086.7924528302
03:10:40,667520,77185.2909090909
03:11:00,667540,84396.94
03:11:20,667560,78148.1481481481
03:11:40,667580,81163.4230769231
03:12:00,667600,79634.3018867925
03:12:20,667620,71549.4576271187
03:12:40,667640,71561.3559322034
03:13:00,667660,76771.6363636364
03:13:20,667680,78204.6111111111
03:13:40,667700,79676.7735849057
03:14:00,667720,84467.42
03:14:20,667740,84467.48
03:14:40,667760,82814.7843137255
03:15:00,667780,84482.34
03:15:20,667800,76815.3636363636
03:15:40,667820,78249.5
03:16:00,667840,81266.8076923077
03:16:20,667860,71634.6949152542
03:16:40,667880,74159.2807017544
03:17:00,667900,75489.3928571429
03:17:20,667920,74178.5789473684
03:17:40,667940,71668.3220338983
03:18:00,667960,74192.649122807
03:18:20,667980,71677.813559322
03:18:40,668000,71686.9830508475
03:19:00,668020,74212.2807017544
03:19:20,668040,71705.4915254237
03:19:40,668060,72949.3965517241
03:20:00,668080,72950.6034482758
03:20:20,668100,75555.6428571428
03:20:40,668120,71720.2033898305
03:21:00,668140,75571.1785714286
03:21:20,668160,72976.724137931
03:21:40,668180,74261.298245614
03:22:00,668200,74270.7368421052
03:22:20,668220,69409.4754098361
03:22:40,668240,75613.6071428571
03:23:00,668260,70581.45
03:23:20,668280,67228.8888888889
03:23:40,668300,71787.2033898305
03:24:00,668320,73035.5172413793
03:24:20,668340,70533.7833333333
03:24:40,668360,72909.4827586207
03:25:00,668380,64081.196969697
03:25:20,668400,68224.9032258064
03:25:40,668420,69345.9180327869
03:26:00,668440,65083.6923076923
03:26:20,668460,59596.2535211268
03:26:40,668480,63155.1492537314
03:27:00,668500,63162.8656716418
03:27:20,668520,65118.0461538462
03:27:40,668540,65128.4769230769
03:28:00,668560,68285.2580645161
03:28:20,668580,63196.552238806
03:28:40,668600,62276.4264705882
03:29:00,668620,66563.84375
03:29:20,668640,62657.5735294118
03:29:40,668660,60875.7
03:30:00,668680,60882.7285714286
03:30:20,668700,63621.7462686567
03:30:40,668720,58403.9315068493
03:31:00,668740,60549.6428571429
03:31:20,668760,58875.25
03:31:40,668780,58072.7808219178
03:32:00,668800,59233.7222222222
03:32:20,668820,54688.4230769231
03:32:40,668840,55400.4935064935
03:33:00,668860,53013.6375
03:33:20,668880,54384.2179487179
03:33:40,668900,57459.7534246575
03:34:00,668920,56910.28
03:34:20,668940,57687.9324324324
03:34:40,668960,50231.2235294118
03:35:00,668980,56597.2
03:35:20,669000,51149.6626506024
03:35:40,669020,55231.6052631579
03:36:00,669040,52090.2195121951
03:36:20,669060,53390.7125
03:36:40,669080,52098.5975609756
03:37:00,669100,52436.6049382716
03:37:20,669120,49391.7674418605
03:37:40,669140,51804.6097560975
03:38:00,669160,50878.619047619
03:38:20,669180,50881.9642857143
03:38:40,669200,51504.5903614458
03:39:00,669220,51831.7682926829
03:39:20,669240,51842.1585365854
03:39:40,669260,50019.7294117647
03:40:00,669280,51535.7951807229
03:40:20,669300,47530.5
03:40:40,669320,48059.1685393258
03:41:00,669340,50028.7058823529
03:41:20,669360,50030.0588235294
03:41:40,669380,48890.6551724138
03:42:00,669400,49758.8604651163
03:42:20,669420,47557.0666666667
03:42:40,669440,48644.6136363636
03:43:00,669460,51891.8292682927
03:43:20,669480,47818.9662921348
03:43:40,669500,46775.8021978022
03:44:00,669520,45558.2340425532
03:44:20,669540,50981.6071428572
03:44:40,669560,46556.3913043478
03:45:00,669580,47316.2111111111
03:45:20,669600,46297.097826087
03:45:40,669620,47856.9101123596
03:46:00,669640,47598.4333333333
03:46:20,669660,46075.1290322581
03:46:40,669680,45589.414893617
03:47:00,669700,48408.2954545455
03:47:20,669720,44380.2708333333
03:47:40,669740,46314.3695652174
03:48:00,669760,49562.3563218391
03:48:20,669780,44009.0408163265
03:48:40,669800,44350.4583333333
03:49:00,669820,43763.4081632653
03:49:20,669840,45320.7872340425
03:49:40,669860,45635.5
03:50:00,669880,43586.3232323232
03:50:20,669900,42028.5392156863
03:50:40,669920,42729.5841584158
03:51:00,669940,44757.206185567
03:51:20,669960,42991.099009901
03:51:40,669980,50493.1162790698
03:52:00,670000,43605.7474747474
03:52:20,670020,41922.9902912622
03:52:40,670040,43624.1717171717
03:53:00,670060,46935.6739130435
03:53:20,670080,41931.8446601942
03:53:40,670100,46446.4086021505
03:54:00,670120,46952.4456521739
03:54:20,670140,41147.9714285714
03:54:40,670160,44087.5102040816
03:55:00,670180,42111.7549019608
03:55:20,670200,40535.2075471698
03:55:40,670220,44299.7010309278
03:56:00,670240,45765.0842105263
03:56:20,670260,41534.0384615385
03:56:40,670280,41033.9905660377
03:57:00,670300,41038.5566037736
03:57:20,670320,43946.4343434343
03:57:40,670340,41055.0283018868
03:58:00,670360,38857.6071428571
03:58:20,670380,38520.4159292036
03:58:40,670400,40307.6018518518
03:59:00,670420,38871.0446428571
03:59:20,670440,38529.4601769911
03:59:40,670460,41077.8113207547
04:00:00,670480,37434.1196581197
04:00:20,670500,36811.2605042017
04:00:40,670520,37447.0854700855
04:01:00,670540,36218.2066115703
04:01:20,670560,39481.4774774775
04:01:40,670580,39483.954954955
04:02:00,670600,37343.0344827586
04:02:20,670620,35510.9918032787
04:02:40,670640,36721
04:03:00,670660,39755.4678899083
04:03:20,670680,39763.2752293578
04:03:40,670700,35827.6198347107
04:04:00,670720,33936.7559055118
04:04:20,670740,33679.6640625
04:04:40,670760,33678.5234375
04:05:00,670780,33422.7441860465
04:05:20,507448,27016.1954887218
04:05:40,670820,35938.725
04:06:00,670840,32615.7669172932
04:06:20,670860,33374.0769230769
04:06:40,670880,33635.6899224806
04:07:00,670900,35860.9669421488
04:07:20,670920,33386.3615384616
04:07:40,670940,33376.5461538461
04:08:00,670960,36875.0683760684
04:08:20,670980,31273.1884057971
04:08:40,671000,30400.2605633803
04:09:00,671020,33406.2538461538
04:09:20,671040,33402.8923076923
04:09:40,671060,31934.2205882353
04:10:00,671080,31476.231884058
04:10:20,671100,33940.1953125
04:10:40,671120,29967.675862069
04:11:00,671140,33948.75
04:11:20,671160,30608.9084507042
04:11:40,671180,31962.8308823529
04:12:00,671200,35628.4590163935
04:12:20,671220,33189.6335877863
04:12:40,671240,31739.4160583942
04:13:00,671260,33386.427480916
04:13:20,671280,32884.7593984963
04:13:40,671300,32643.5671641791
04:14:00,671320,31472.5971223022
04:14:20,671340,31707.963768116
04:14:40,671360,32905.6917293233
04:15:00,671380,29777.1292517007
04:15:20,671400,30614.5174825175
04:15:40,671420,33676.5538461538
04:16:00,671440,32921.7593984962
04:16:20,671460,29191.0333333333
04:16:40,671480,30624.6083916084
04:17:00,671500,32142.1240875912
04:17:20,671520,32624.8962962963
04:17:40,671540,30591.0625
04:18:00,671560,28986.3947368421
04:18:20,671580,29183.9337748344
04:18:40,671600,30600.7083333333
04:19:00,671620,30956.6180555556
04:19:20,671640,29912.4161073825
04:19:40,671660,28578.0576923077
04:20:00,671680,32307.1231884058
04:20:20,671700,28957.9675324675
04:20:40,671720,28227.5316455696
04:21:00,671740,28983.1764705882
04:21:20,671760,27547.9751552795
04:21:40,671780,29569.94
04:22:00,671800,29542.0066225166
04:22:20,671820,27040.8727272727
04:22:40,671840,30774.4482758621
04:23:00,671860,32247.7867647059
04:23:20,671880,29241.9533333333
04:23:40,671900,30466.1180555556
04:24:00,671920,28106.4840764331
04:24:20,671940,28109.8280254777
04:24:40,671960,31754.8705035971
04:25:00,671980,25964.7134502924
04:25:20,672000,27074.9268292683
04:25:40,672020,28288.6369426752
04:26:00,672040,27763.7
04:26:20,672060,25987.8596491228
04:26:40,672080,27262.6932515337
04:27:00,672100,26753.8571428572
04:27:20,672120,27239
04:27:40,672140,27576.3558282209
04:28:00,672160,28113.7924528302
04:28:20,672180,26933.8795180723
04:28:40,672200,25704.1321839081
04:29:00,672220,27777.3602484472
04:29:20,672240,26623.4166666667
04:29:40,672260,25561.6628571428
04:30:00,672280,25274.3370786517
04:30:20,672300,24859
04:30:40,672320,25861.2471264368
04:31:00,672340,26164.3604651163
04:31:20,672360,27608.9202453988
04:31:40,672380,26322.6549707602
04:32:00,672400,26164.8323699422
04:32:20,672420,24337.6451612903
04:32:40,672440,26019.4770114943
04:33:00,672460,25151.6519337017
04:33:20,672480,25435.7262569832
04:33:40,672500,24484.1129032258
04:34:00,672520,24747.7431693989
04:34:20,672540,27449.4424242424
04:34:40,672560,23841.8
04:35:00,672580,25593.7683615819
04:35:20,672600,29418.6623376623
04:35:40,672620,25060.1530054645
04:36:00,672640,25050.1032608695
04:36:20,672660,25463.3756906077
04:36:40,672680,22310.6225490196
04:37:00,672700,25020.2732240437
04:37:20,672720,26296.0689655173
04:37:40,672740,23944.1518324607
04:38:00,672760,24042.5
04:38:20,672780,22944.4422110553
04:38:40,672800,22722.9452736319
04:39:00,672820,23896.6578947368
04:39:20,672840,27517.6545454545
04:39:40,672860,23292.1487179487
04:40:00,672880,19606.9516908213
04:40:20,672900,25104.8791208791
04:40:40,672920,21258.3906976744
04:41:00,672940,23197.6852791878
04:41:20,672960,24572.8387096774
04:41:40,672980,25113.5604395604
04:42:00,673000,21050.1018518519
04:42:20,673020,23439.7525773196
04:42:40,673040,20301.1696428571
04:43:00,673060,24451.9470899471
04:43:20,673080,23467.6852791878
04:43:40,673100,22336.6086956522
04:44:00,673120,22843.275
04:44:20,673140,23482.7106598985
04:44:40,673160,20896.3532110092
04:45:00,673180,21895.2644230769
04:45:20,673200,21903.7548076923
04:45:40,673220,21390.5117370892
04:46:00,673240,21796.6315789474
04:46:20,673260,22556.5495049505
04:46:40,673280,22340.0392156863
04:47:00,673300,22323.9014778325
04:47:20,673320,21279.8732394366
04:47:40,673340,21792.75
04:48:00,673360,21288.1408450704
04:48:20,673380,22340.5467980296
04:48:40,673400,20068.0353982301
04:49:00,673420,20994.8796296296
04:49:20,673440,23135.7704081633
04:49:40,673460,20621.2136363636
04:50:00,673480,20527.9864253394
04:50:20,673500,21198.4439252336
04:50:40,673520,21404.6745283019
04:51:00,673540,21499.0947867299
04:51:20,673560,26069.2988505747
04:51:40,673580,19992.9691629956
04:52:00,673600,20740.2090909091
04:52:20,673620,19674.5129310345
04:52:40,673640,19430.4297872341
04:53:00,673660,19159.4556962025
04:53:20,673680,20737.5296803653
04:53:40,673700,20276.6116071429
04:54:00,673720,18543.0367346939
04:54:20,673740,20936.3133640553
04:54:40,673760,19752.6
04:55:00,673780,19008.129707113
04:55:20,673800,20940.0414746544
04:55:40,673820,19017.2133891214
04:56:00,673840,20403.3169642857
04:56:20,673860,18212.7768924303
04:56:40,673880,18661.7551020408
04:57:00,673900,19370.0084745763
04:57:20,673920,19879.3869565217
04:57:40,673940,19208.3487394958
04:58:00,673960,22738.855721393
04:58:20,673980,20975.123853211
04:58:40,674000,17937.8941176471
04:59:00,674020,20174.3640350877
04:59:20,674040,19915.0476190476
04:59:40,674060,17112.624535316
05:00:00,674080,20562.6622222222
05:00:20,674100,18078.796875
05:00:40,674120,18434.5338645418
05:01:00,674140,17770.5328185328
05:01:20,674160,16623.2527075812
05:01:40,674180,19928.7359307359
05:02:00,674200,18534.2307692308
05:02:20,674220,18172.7738095238
05:02:40,674240,18698.6734693878
05:03:00,674260,19050.89958159
05:03:20,674280,17719.5992217899
05:03:40,674300,18434.7327935223
05:04:00,674320,17816.0856031128
05:04:20,674340,19324.7383966245
05:04:40,674360,17966.4784313726
05:05:00,674380,17353.3333333333
05:05:20,674400,16911.5576208178
05:05:40,674420,16912.4089219331
05:06:00,674440,16517.0072202166
05:06:20,674460,18085.6245059288
05:06:40,674480,16763.8021978022
05:07:00,674500,17833.0465116279
05:07:20,674520,18116.7677165354
05:07:40,674540,16098.5454545455
05:08:00,674560,18010.0622568093
05:08:20,674580,15913.9381443299
05:08:40,674600,16483.5729537367
05:09:00,674620,17029.6431226766
05:09:20,674640,16601.7282608696
05:09:40,674660,16077.1298245614
05:10:00,674680,17895.3046875
05:10:20,674700,15646.0409556314
05:10:40,674720,17041.0817843866
05:11:00,674740,19562.4549356223
05:11:20,674760,16825.9557195572
05:11:40,674780,15782.508650519
05:12:00,674800,16468.8607142857
05:12:20,674820,17272.3595505618
05:12:40,674840,16128.1223776224
05:13:00,674860,16294.6325088339
